STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
all,AT_count,entropy,0.014830531915050441,4.056002115369281e-10,0.06500082331587523,1.2438832666612356e-165,,,,,8.030884188431175e-08,2.4628888679892467e-163,,
all,AT_count,heterozygosity,0.027622276716002703,2.4093909893919466e-31,0.06467415216571276,5.474459593480765e-164,,,,,4.770594158996054e-29,1.0839429995091915e-161,,
GT,AG_count,entropy,0.05650099452396461,5.08344231592533e-35,0.05862532741595641,1.4126372914807723e-37,,,,,1.0065215785532155e-32,2.797021837131929e-35,,
AC,CT_count,entropy,0.05650099452396461,5.08344231592533e-35,0.05862532741595641,1.4126372914807723e-37,,,,,1.0065215785532155e-32,2.797021837131929e-35,,
GT,AG_count,heterozygosity,0.05024400683729197,4.905419932336976e-28,0.05746511492345714,3.611555567476291e-36,,,,,9.712731466027213e-26,7.150880023603056e-34,,
AC,CT_count,heterozygosity,0.05024400683729197,4.905419932336976e-28,0.05746511492345714,3.611555567476291e-36,,,,,9.712731466027213e-26,7.150880023603056e-34,,
AT,GT_count,label,0.05865653545463062,1.9894560732849197e-33,0.049821032525773336,1.4453707732198416e-24,0.05865653545463062,1.9894560732849197e-33,0.05838148201269666,1.5404595587780869e-24,3.939123025104141e-31,2.8618341309752863e-22,1.313041008368047e-31,1.0167033087935374e-22
AT,AC_count,label,0.05865653545463062,1.9894560732849197e-33,0.049821032525773336,1.4453707732198416e-24,0.05865653545463062,1.9894560732849197e-33,0.05838148201269666,1.5404595587780869e-24,3.939123025104141e-31,2.8618341309752863e-22,1.313041008368047e-31,1.0167033087935374e-22
AT,GT_count,entropy,0.023329239317938025,1.6820643786010678e-06,0.045238164973970485,1.563911653090556e-20,,,,,0.0003330487469630114,3.096545073119301e-18,,
AT,AC_count,entropy,0.023329239317938025,1.6820643786010678e-06,0.045238164973970485,1.563911653090556e-20,,,,,0.0003330487469630114,3.096545073119301e-18,,
CT,AT_count,heterozygosity,0.08395865120553121,8.645219089868728e-33,0.0447958821305856,2.0825145126053986e-10,,,,,1.711753379794008e-30,4.1233787349586894e-08,,
AG,AT_count,heterozygosity,0.08395865120553121,8.645219089868728e-33,0.0447958821305856,2.0825145126053986e-10,,,,,1.711753379794008e-30,4.1233787349586894e-08,,
AG,AT_count,entropy,0.07302468786087428,3.4469875741226924e-25,0.04474456294295203,2.1835707730129355e-10,,,,,6.825035396762931e-23,4.3234701305656124e-08,,
CT,AT_count,entropy,0.07302468786087428,3.4469875741226924e-25,0.04474456294295203,2.1835707730129355e-10,,,,,6.825035396762931e-23,4.3234701305656124e-08,,
all,all_dinuc_count,entropy,-0.01599505769693437,1.5533391088181602e-11,0.04464938964775681,4.251692982612079e-79,,,,,3.0756114354599573e-09,8.418352105571917e-77,,
AT,AC_count,heterozygosity,0.02901171035317534,2.5998540800688502e-09,0.04430351129830409,9.332409215270416e-20,,,,,5.147711078536323e-07,1.8478170246235422e-17,,
AT,GT_count,heterozygosity,0.02901171035317534,2.5998540800688502e-09,0.04430351129830409,9.332409215270416e-20,,,,,5.147711078536323e-07,1.8478170246235422e-17,,
CT,AG_count,entropy,0.03652997933897431,2.2000821676085755e-07,0.04390672634242237,4.698326098984897e-10,,,,,4.35616269186498e-05,9.302685675990095e-08,,
AG,CT_count,entropy,0.03652997933897431,2.2000821676085755e-07,0.04390672634242237,4.698326098984897e-10,,,,,4.35616269186498e-05,9.302685675990095e-08,,
all,all_dinuc_count,heterozygosity,-0.003497115600092981,0.14044296476499218,0.04376492704145796,4.5749119479203564e-76,,,,,27.807707023468453,9.058325656882306e-74,,
CT,AG_count,heterozygosity,0.03659264350653566,2.0975310901891232e-07,0.04367986758732677,5.767807348715383e-10,,,,,4.153111558574464e-05,1.1420258550456459e-07,,
AG,CT_count,heterozygosity,0.03659264350653566,2.0975310901891232e-07,0.04367986758732677,5.767807348715383e-10,,,,,4.153111558574464e-05,1.1420258550456459e-07,,
AC,AT_count,label,0.0615796116527974,2.7492264796638044e-41,0.042653416123721144,1.1923006238948915e-20,0.0615796116527974,2.7492264796638044e-41,0.04811639082327557,1.239182742188733e-20,5.443468429734333e-39,2.3607552353118853e-18,1.8144894765781108e-39,8.178606098445637e-19
GT,AT_count,label,0.0615796116527974,2.7492264796638044e-41,0.042653416123721144,1.1923006238948915e-20,0.0615796116527974,2.7492264796638044e-41,0.04811639082327557,1.239182742188733e-20,5.443468429734333e-39,2.3607552353118853e-18,1.8144894765781108e-39,8.178606098445637e-19
